STATE,Population2010
AGUASCALIENTES,1184996
BAJA CALIFORNIA,3155070
BAJA CALIFORNIA SUR,637026
CAMPECHE,822441
CHIAPAS,4796580
CHIHUAHUA,3406465
CIUDAD DE MEXICO,8851080
COAHUILA,2748391
COLIMA,650555
DURANGO,1632934
GUANAJUATO,5486372
GUERRERO,3388768
HIDALGO,2665018
JALISCO,7350682
MEXICO,15175862
MICHOACAN,4351037
MORELOS,1777227
NAYARIT,1084979
NUEVO LEON,4653458
OAXACA,3801962
PUEBLA,5779829
QUERETARO,1827937
QUINTANA ROO,1325578
SAN LUIS POTOSI,2585518
SINALOA,2767761
SONORA,2662480
TABASCO,2238603
TAMAULIPAS,3268554
TLAXCALA,1169936
VERACRUZ,7643194
YUCATAN,1955577
ZACATECAS,1490668
